"CBSA Code","Metropolitan Division Code","CSA Code","CBSA_Title","MMSA","Metropolitan Division Title","CSA Title","Counties","State Name","FIPS State Code","FIPS County Code","Central/Outlying County","county"
"105","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Fayette","Georgia","13","113","Central","fayette,georgia"
"106","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Forsyth","Georgia","13","117","Central","forsyth,georgia"
"107","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Fulton","Georgia","13","121","Central","fulton,georgia"
"108","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Gwinnett","Georgia","13","135","Central","gwinnett,georgia"
"109","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Haralson","Georgia","13","143","Outlying","haralson,georgia"
"110","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Heard","Georgia","13","149","Outlying","heard,georgia"
"111","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Henry","Georgia","13","151","Central","henry,georgia"
"112","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Jasper","Georgia","13","159","Outlying","jasper,georgia"
"113","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Lamar","Georgia","13","171","Outlying","lamar,georgia"
"114","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Meriwether","Georgia","13","199","Outlying","meriwether,georgia"
"115","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Morgan","Georgia","13","211","Outlying","morgan,georgia"
"116","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Newton","Georgia","13","217","Central","newton,georgia"
"117","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Paulding","Georgia","13","223","Central","paulding,georgia"
"118","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Pickens","Georgia","13","227","Outlying","pickens,georgia"
"119","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Pike","Georgia","13","231","Outlying","pike,georgia"
"120","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Rockdale","Georgia","13","247","Central","rockdale,georgia"
"121","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Spalding","Georgia","13","255","Central","spalding,georgia"
"122","12060",NA,"122","Atlanta-Sandy Springs-Alpharetta, GA","Metropolitan Statistical Area",NA,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Walton","Georgia","13","297","Central","walton,georgia"
"123","12100",NA,"428","Atlantic City-Hammonton, NJ","Metropolitan Statistical Area",NA,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Atlantic","New Jersey","34","001","Central","atlantic,new jersey"
"124","12120",NA,"426","Atmore, AL","Micropolitan Statistical Area",NA,"Pensacola-Ferry Pass, FL-AL","Escambia","Alabama","01","053","Central","escambia,alabama"
"125","12140",NA,"258","Auburn, IN","Micropolitan Statistical Area",NA,"Fort Wayne-Huntington-Auburn, IN","DeKalb","Indiana","18","033","Central","dekalb,indiana"
"126","12180",NA,"532","Auburn, NY","Micropolitan Statistical Area",NA,"Syracuse-Auburn, NY","Cayuga","New York","36","011","Central","cayuga,new york"
